==PROF== Connected to process 103470 (/usr/bin/python3.10)
==PROF== Disconnected from process 103470
"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","103470","python3.10","127.0.0.1","103470  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","matmul_kernel","1","7","(128, 1, 1)","(256, 256, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_barrier_per_issue_active.ratio","inst","0.80",
"0","103470","python3.10","127.0.0.1","103470  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","matmul_kernel","1","7","(128, 1, 1)","(256, 256, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","12.39",
"0","103470","python3.10","127.0.0.1","103470  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","matmul_kernel","1","7","(128, 1, 1)","(256, 256, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_membar_per_issue_active.ratio","inst","0",
"0","103470","python3.10","127.0.0.1","103470  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","matmul_kernel","1","7","(128, 1, 1)","(256, 256, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_mio_throttle_per_issue_active.ratio","inst","0.71",
"0","103470","python3.10","127.0.0.1","103470  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","matmul_kernel","1","7","(128, 1, 1)","(256, 256, 1)","0","8.0","Command line profiler metrics","smsp__average_warps_issue_stalled_short_scoreboard_per_issue_active.ratio","inst","1.40",
"0","103470","python3.10","127.0.0.1","103470  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","matmul_kernel","1","7","(128, 1, 1)","(256, 256, 1)","0","8.0","Warp State Statistics","Warp Cycles Per Issued Instruction","cycle","20.21",
"0","103470","python3.10","127.0.0.1","103470  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","matmul_kernel","1","7","(128, 1, 1)","(256, 256, 1)","0","8.0","Warp State Statistics","Warp Cycles Per Executed Instruction","cycle","20.21",
"0","103470","python3.10","127.0.0.1","103470  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","matmul_kernel","1","7","(128, 1, 1)","(256, 256, 1)","0","8.0","Warp State Statistics","Avg. Active Threads Per Warp","","32",
"0","103470","python3.10","127.0.0.1","103470  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","matmul_kernel","1","7","(128, 1, 1)","(256, 256, 1)","0","8.0","Warp State Statistics","Avg. Not Predicated Off Threads Per Warp","","31.32",
"0","103470","python3.10","127.0.0.1","103470  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","matmul_kernel","1","7","(128, 1, 1)","(256, 256, 1)","0","8.0","WarpStateStats","","","","CPIStall","WRN","The optional metric smsp__pcsamp_sample_count could not be found. Collecting it as an additional metric could enable the rule to provide more guidance.","",""
"0","103470","python3.10","127.0.0.1","103470  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","matmul_kernel","1","7","(128, 1, 1)","(256, 256, 1)","0","8.0","WarpStateStats","","","","CPIStall","OPT","On average, each warp of this workload spends 12.4 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 61.3% of the total average of 20.2 cycles between issuing two instructions.","local","61.3"
"0","103470","python3.10","127.0.0.1","103470  ""<default domain>:TARGET:none:none:none:none:none:none"" ","","matmul_kernel","1","7","(128, 1, 1)","(256, 256, 1)","0","8.0","WarpStateStats","","","","CPIStall","INF","Check the Warp Stall Sampling (All Samples) table for the top stall locations in your source based on sampling data. The Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-reference) provides more details on each stall reason.","",""
